Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22nF,KAS21KR71H223KU
"C10, C11, C12, C14, C7, C9",0603,6,10 nF,GCM188R71H103KA37D
"C13, C17, C28, C30, C6, C8",0402,6,100n,GCM155R71H104KE02J
"C15, C16",0402,2,5.6n,GCM155R71H562KA55D
"C2, C31",0603,2,220nF,GCM188R71H224KA64D
C29,0805,1,10uF,CGA4J1X7S1C106K125AE
"C3, C5",0805,2,100n,KAS21KR72A104KU
C4,0603,1,1u,GRT188R61H105KE13D
D1,SOT-416,1,RCLAMP0582B.TCT,RCLAMP0582B.TCT
"D2, D3",Nexperia_CFP3_SOD-123W,2,PMEG60T30ELRX,PMEG60T30ELRX
F1,0805,1,5A,MFU0805FF05000P100
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105,USB4105-GF-A
J2,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,S4B-PH-K-S,S4B-PH-K-S
J4,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,S2B-XH-A-1,S2B-XH-A-1
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,S2B-PH-K-S,S2B-PH-K-S
L2,1008,1,6.8 uH,SRN2510BTA-6R8M
"LED1, LED2",0603,2,Red,150060SS75020
"R1, R5, R6, R7, R8",0402,5,10k,CR0402AFX-1002GAS
"R10, R11, R9",0402,3,4.75k,CR0402AFX-4751GAS
"R2, R3",0402,2,2k,CR0402AFX-2001GAS
R4,0402,1,330 kR,CRGCQ0402F330K
"SW1, SW2",SW_Push_1P1T-SH_NO_CK_KMR2xxG,2,NO,KMR221G LFS
U1,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302B01MPX,FUSB302B01MPX
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8R8,ESP32-S3-WROOM-1-N8R8
U3,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,1,DRV8955,DRV8955PRGER
U5,SOT-23-6,1,LMR50410Y3FQDBVRQ1,LMR50410Y3FQDBVRQ1
